platform,server,uid,dataUnix,status
H5,21,2|489,1571451459,LOGOUT
ADR,12,1|1342,1571451609,LOGOUT
H5,20,2|154,1571451789,LOGIN
H5,12,1|59,1571451879,LOGIN
H5,12,1|59,1571451879,LOGIN
IOS_YY,21,2|1466,1571451969,LOGOUT
IOS,3,0|1375_218,1571451999,LOGOUT
H5,11,1|2119,1571452779,LOGIN
IOS_YY,5,0|2034,1571452809,LOGIN
IOS_YY,20,2|413,1571452899,LOGOUT
H5,11,1|1284,1571452989,LOGIN
IOS_YY,12,1|1477,1571453049,LOGOUT
IOS_YY,13,1|147,1571453919,LOGOUT
ADR,10,1|2484,1571453949,LOGIN
IOS,25,2|1370,1571454099,LOGIN
IOS,22,2|11,1571454159,LOGOUT
IOS,25,2|286,1571454459,LOGIN
IOS_YY,22,2|6,1571454579,LOGIN
ADR,3,0|2203,1571454939,LOGOUT
IOS,5,0|724,1571454999,LOGIN
IOS_YY,2,0|2932,1571455089,LOGOUT
IOS_YY,23,2|1173,1571455179,LOGIN
H5,13,1|292,1571455209,LOGOUT
IOS,20,2|292,1571455209,LOGIN
ADR,20,2|1541,1571455389,LOGOUT
IOS,13,1|2977,1571455749,LOGOUT
IOS_YY,10,1|481,1571455779,LOGIN
IOS_YY,4,0|2414,1571455809,LOGOUT
H5,22,2|1970,1571455929,LOGIN
H5,13,1|1974,1571455959,LOGOUT
ADR,23,2|2106,1571456109,LOGIN
H5,22,2|1865,1571456139,LOGIN
IOS,10,1|1245,1571456229,LOGOUT
ADR,14,1|2890,1571456409,LOGIN
IOS,1,0|288,1571456739,LOGOUT
IOS_YY,24,2|138,1571457009,LOGIN
IOS_YY,15,1|1978_53,1571457249,LOGIN
IOS,22,2|266,1571457399,LOGIN
ADR,22,2|279,1571457459,LOGIN
IOS,0,0|2850,1571457759,LOGOUT
IOS,12,1|1783,1571458179,LOGIN
ADR,15,1|411,1571458299,LOGOUT
IOS_YY,5,0|411,1571458299,LOGIN
ADR,3,0|35,1571458539,LOGOUT
ADR,20,2|1677,1571458659,LOGIN
H5,15,1|716,1571458689,LOGIN
IOS_YY,25,2|1334,1571459109,LOGIN
IOS_YY,25,2|1334,1571459109,LOGIN
IOS,1,0|2991,1571459469,LOGOUT
IOS_YY,12,1|1829,1571459619,LOGOUT
ADR,13,1|1456,1571459799,LOGOUT
IOS,2,0|1250,1571459889,LOGIN
ADR,22,2|1221,1571459919,LOGIN
IOS,14,1|2552,1571459979,LOGOUT
H5,11,1|2277,1571460009,LOGIN
H5,5,0|1864,1571460159,LOGIN
ADR,14,1|1304,1571460249,LOGOUT
IOS,25,2|523,1571460369,LOGIN
IOS_YY,25,2|1793,1571460579,LOGIN
IOS_YY,12,1|1969,1571460699,LOGIN
IOS,20,2|1472,1571460789,LOGIN
ADR,0,0|2872,1571460939,LOGIN
IOS,12,1|1729,1571461089,LOGIN
IOS_YY,11,1|851,1571461299,LOGIN
H5,2,0|2115,1571461359,LOGIN
ADR,11,1|1368,1571461419,LOGIN
ADR,10,1|1754,1571461869,LOGOUT
ADR,0,0|951,1571461899,LOGOUT
ADR,0,0|2792,1571462079,LOGIN
ADR,4,0|2822,1571462259,LOGIN
IOS,5,0|515_225,1571462409,LOGOUT
IOS,22,2|139,1571462979,LOGIN
H5,3,0|2705,1571463009,LOGIN
ADR,21,2|2556,1571463069,LOGIN
ADR,0,0|1616_143,1571463129,LOGOUT
ADR,1,0|1047,1571463249,LOGOUT
IOS_YY,15,1|1950,1571463279,LOGIN
H5,4,0|1528,1571463459,LOGIN
IOS,13,1|2715,1571463969,LOGIN
IOS_YY,12,1|124,1571464059,LOGOUT
H5,25,2|2457,1571464269,LOGOUT
IOS_YY,23,2|1854,1571464449,LOGOUT
IOS_YY,14,1|472,1571464479,LOGIN
ADR,14,1|2584,1571464539,LOGIN
IOS_YY,14,1|1272,1571464839,LOGIN
ADR,1,0|1254_1,1571465049,LOGOUT
H5,2,0|1764,1571465199,LOGIN
IOS_YY,15,1|2372,1571465379,LOGIN
ADR,14,1|1893,1571465439,LOGOUT
IOS_YY,20,2|229,1571465589,LOGIN
IOS_YY,23,2|1859,1571465799,LOGOUT
IOS,0,0|1585,1571466099,LOGIN
IOS,23,2|2356,1571466909,LOGOUT
ADR,5,0|1577,1571466969,LOGOUT
H5,2,0|2185,1571467029,LOGOUT
ADR,20,2|1898,1571467089,LOGIN
ADR,24,2|2222,1571467659,LOGIN
IOS,11,1|2203,1571467719,LOGIN
IOS_YY,5,0|2877,1571468229,LOGOUT
IOS_YY,5,0|2877,1571468229,LOGOUT
ADR,5,0|2002,1571468679,LOGIN
IOS_YY,20,2|66,1571468709,LOGOUT
IOS,15,1|628,1571468799,LOGOUT
IOS,3,0|828,1571468919,LOGOUT
IOS,21,2|944,1571469099,LOGOUT
H5,20,2|510,1571469249,LOGOUT
IOS,21,2|1333,1571469969,LOGOUT
IOS,1,0|2963,1571470179,LOGOUT
IOS,24,2|1644,1571470419,LOGOUT
ADR,5,0|1518,1571470779,LOGIN
H5,14,1|1154,1571470809,LOGIN
IOS_YY,23,2|435_49,1571471139,LOGIN
ADR,3,0|530,1571471499,LOGOUT
IOS,11,1|2559,1571471619,LOGOUT
IOS,5,0|1054,1571471739,LOGIN
IOS,11,1|1585,1571471919,LOGIN
IOS,2,0|2533,1571471949,LOGOUT
IOS_YY,11,1|872,1571472039,LOGIN
H5,11,1|2125,1571472249,LOGIN
IOS_YY,25,2|2403,1571472279,LOGOUT
IOS_YY,11,1|2149,1571472579,LOGOUT
IOS,12,1|2735,1571472699,LOGOUT
IOS_YY,13,1|2298,1571472879,LOGOUT
IOS,2,0|2712,1571473179,LOGIN
H5,21,2|2105,1571473239,LOGIN
ADR,3,0|1333_99,1571473329,LOGOUT
H5,22,2|1757,1571473419,LOGOUT
IOS,5,0|1129,1571473449,LOGIN
ADR,14,1|710,1571473539,LOGOUT
ADR,10,1|2859,1571473659,LOGOUT
IOS_YY,24,2|2657,1571473719,LOGIN
H5,13,1|106,1571473749,LOGIN
ADR,15,1|181,1571473869,LOGOUT
ADR,15,1|181,1571473869,LOGOUT
IOS,13,1|1141,1571473989,LOGOUT
IOS,12,1|1755,1571474589,LOGOUT
IOS,20,2|1934,1571475129,LOGOUT
IOS,20,2|1934,1571475129,LOGOUT
ADR,24,2|113,1571475549,LOGOUT
H5,13,1|2558,1571476329,LOGOUT
ADR,24,2|2287,1571476389,LOGIN
IOS,22,2|574,1571476809,LOGIN
ADR,11,1|120_239,1571476989,LOGIN
IOS_YY,11,1|1050,1571477049,LOGOUT
IOS_YY,13,1|583,1571477229,LOGIN
ADR,15,1|382,1571477259,LOGIN
IOS,5,0|2630,1571477979,LOGOUT
ADR,20,2|223,1571478099,LOGIN
ADR,10,1|2027,1571478729,LOGOUT
ADR,25,2|2691,1571478849,LOGIN
ADR,14,1|181,1571478969,LOGOUT
ADR,14,1|181,1571478969,LOGOUT
IOS,10,1|963,1571479269,LOGIN
IOS_YY,20,2|1910,1571479539,LOGOUT
IOS,5,0|718,1571479569,LOGIN
IOS_YY,11,1|1578,1571479629,LOGOUT
ADR,20,2|2681,1571479749,LOGOUT
IOS,4,0|934,1571479989,LOGOUT
IOS,2,0|2667,1571480109,LOGIN
ADR,3,0|2324,1571480499,LOGIN
ADR,3,0|2324,1571480499,LOGIN
ADR,3,0|2324,1571480499,LOGIN
ADR,24,2|788,1571480649,LOGIN
IOS_YY,25,2|1979,1571480829,LOGOUT
IOS_YY,1,0|957,1571480889,LOGIN
IOS_YY,22,2|2405,1571481099,LOGOUT
IOS_YY,23,2|1001,1571481249,LOGOUT
ADR,10,1|2106,1571481279,LOGIN
IOS_YY,2,0|24,1571481399,LOGOUT
H5,5,0|937,1571481549,LOGIN
IOS,23,2|381,1571481639,LOGOUT
IOS,2,0|465,1571481849,LOGIN
ADR,20,2|2618,1571481909,LOGOUT
ADR,11,1|737,1571481999,LOGOUT
H5,24,2|511,1571482299,LOGIN
IOS_YY,11,1|1602,1571482419,LOGOUT
IOS,24,2|907,1571482479,LOGIN
IOS_YY,3,0|167,1571482509,LOGIN
ADR,4,0|2763,1571482869,LOGOUT
ADR,22,2|938,1571483019,LOGOUT
IOS_YY,11,1|194_228,1571483229,LOGOUT
ADR,3,0|2206,1571483259,LOGOUT
IOS_YY,3,0|1508,1571483919,LOGOUT
H5,22,2|2612,1571484009,LOGIN
IOS,25,2|576,1571484099,LOGOUT
IOS,0,0|358,1571484249,LOGIN
ADR,22,2|358,1571484249,LOGOUT
H5,25,2|1717,1571484429,LOGIN
IOS,20,2|2483,1571484669,LOGIN
ADR,20,2|150,1571484939,LOGIN
H5,13,1|1864,1571485089,LOGIN
ADR,10,1|1126,1571485119,LOGOUT
IOS_YY,11,1|2665,1571485419,LOGIN
IOS_YY,20,2|2181,1571485899,LOGIN
IOS_YY,13,1|1802_266,1571486139,LOGOUT
H5,13,1|2628,1571486259,LOGOUT
H5,22,2|2881,1571486379,LOGIN
IOS_YY,22,2|1988,1571486619,LOGOUT
IOS,1,0|17,1571486919,LOGIN
H5,22,2|63,1571487009,LOGOUT
H5,22,2|63,1571487009,LOGOUT
IOS_YY,14,1|1839,1571487069,LOGIN
IOS_YY,2,0|1254_122,1571487129,LOGIN
IOS,23,2|1412_246,1571487219,LOGOUT
IOS_YY,15,1|861,1571487339,LOGOUT
ADR,21,2|1352_90,1571487489,LOGOUT
IOS_YY,15,1|1274_168,1571487579,LOGIN
ADR,25,2|2483,1571487609,LOGOUT
H5,11,1|2479,1571487789,LOGOUT
IOS,12,1|2971,1571488269,LOGIN
IOS_YY,15,1|1335,1571488299,LOGOUT
IOS_YY,15,1|1335,1571488299,LOGOUT
ADR,3,0|2105,1571488389,LOGOUT
ADR,4,0|301,1571488659,LOGOUT
ADR,20,2|1906,1571488989,LOGOUT
ADR,0,0|474,1571489499,LOGOUT
IOS,22,2|2578,1571489559,LOGIN
ADR,24,2|1319_150,1571489679,LOGIN
IOS,0,0|799,1571490279,LOGOUT
IOS_YY,22,2|2663,1571490429,LOGOUT
IOS,3,0|1862,1571490639,LOGIN
H5,2,0|1438,1571491329,LOGIN
ADR,10,1|1252,1571491509,LOGIN
IOS,23,2|1621,1571491629,LOGIN
IOS_YY,11,1|742,1571491809,LOGIN
H5,23,2|2769,1571491839,LOGOUT
IOS_YY,4,0|1790,1571491899,LOGIN
IOS_YY,12,1|2253,1571491929,LOGIN
IOS_YY,15,1|2556,1571491959,LOGOUT
H5,2,0|581,1571492049,LOGOUT
ADR,24,2|2249,1571492079,LOGOUT
ADR,24,2|1482,1571492169,LOGIN
IOS,24,2|2712,1571492409,LOGOUT
H5,5,0|716,1571492499,LOGIN
IOS_YY,23,2|716,1571492499,LOGOUT
ADR,0,0|2385,1571492649,LOGIN
H5,11,1|658,1571492919,LOGIN
IOS_YY,12,1|702,1571493069,LOGOUT
IOS,24,2|2223,1571493099,LOGOUT
ADR,15,1|2329,1571493309,LOGIN
IOS,11,1|790_57,1571493339,LOGOUT
ADR,10,1|2297,1571493489,LOGOUT
ADR,10,1|2297,1571493489,LOGOUT
H5,23,2|2536,1571493909,LOGIN
IOS_YY,12,1|1342,1571494329,LOGOUT
IOS_YY,24,2|1248,1571494839,LOGOUT
IOS_YY,23,2|2721,1571494929,LOGIN
H5,25,2|1633,1571495229,LOGIN
IOS_YY,24,2|2149,1571495319,LOGIN
IOS_YY,24,2|2149,1571495319,LOGIN
IOS,22,2|596,1571495499,LOGOUT
H5,5,0|2867,1571495559,LOGOUT
ADR,22,2|763,1571495919,LOGIN
ADR,4,0|763,1571495919,LOGOUT
ADR,22,2|763,1571495919,LOGIN
IOS,23,2|2992,1571496009,LOGIN
ADR,20,2|755,1571496039,LOGOUT
IOS_YY,24,2|885,1571496309,LOGIN
IOS,13,1|2139,1571496369,LOGOUT
IOS_YY,1,0|884,1571496489,LOGIN
IOS_YY,1,0|1830,1571496639,LOGIN
ADR,5,0|2133,1571496759,LOGIN
ADR,5,0|2757,1571496789,LOGIN
ADR,5,0|2757,1571496789,LOGIN
ADR,24,2|1539,1571496939,LOGOUT
ADR,11,1|211,1571497089,LOGOUT
ADR,11,1|211,1571497089,LOGOUT
IOS,1,0|2005,1571497569,LOGOUT
IOS,23,2|25,1571497839,LOGIN
IOS,25,2|2559,1571497899,LOGIN
ADR,2,0|55,1571498049,LOGOUT
ADR,15,1|2956,1571498259,LOGIN
IOS,25,2|1773,1571498889,LOGOUT
H5,14,1|1706,1571499039,LOGOUT
H5,11,1|697,1571499849,LOGOUT
ADR,3,0|131,1571500059,LOGOUT
ADR,25,2|137,1571500089,LOGOUT
IOS_YY,22,2|2119,1571500239,LOGOUT
IOS,22,2|2808,1571500269,LOGIN
IOS,20,2|1374,1571500509,LOGIN
ADR,12,1|331,1571500659,LOGOUT
ADR,20,2|571,1571500689,LOGIN
IOS_YY,15,1|2204,1571500719,LOGOUT
H5,3,0|1972,1571500749,LOGIN
IOS_YY,21,2|2599,1571415129,LOGIN
IOS_YY,20,2|2049,1571415579,LOGOUT
ADR,12,1|795,1571415609,LOGIN
IOS_YY,23,2|1181,1571415699,LOGOUT
ADR,22,2|1601,1571415789,LOGIN
ADR,5,0|871,1571415909,LOGOUT
IOS,3,0|913_238,1571416419,LOGOUT
ADR,2,0|2364,1571416449,LOGIN
IOS,25,2|1282,1571416479,LOGOUT
H5,20,2|1621,1571416509,LOGIN
IOS_YY,5,0|2815,1571416569,LOGOUT
IOS_YY,4,0|623,1571416659,LOGIN
IOS,2,0|2257,1571417379,LOGIN
ADR,25,2|787,1571417439,LOGIN
ADR,22,2|323,1571417469,LOGOUT
ADR,23,2|184,1571417529,LOGIN
H5,3,0|2117,1571417589,LOGIN
IOS_YY,13,1|1565,1571417919,LOGOUT
IOS_YY,15,1|1098,1571418339,LOGOUT
IOS_YY,22,2|413,1571418399,LOGIN
IOS,2,0|2086,1571418519,LOGIN
H5,13,1|1295,1571418639,LOGOUT
H5,4,0|1041,1571418969,LOGIN
ADR,15,1|1571,1571419059,LOGOUT
IOS,12,1|29,1571419209,LOGIN
IOS_YY,1,0|2356,1571419419,LOGOUT
IOS_YY,14,1|977,1571419629,LOGIN
IOS_YY,12,1|1343,1571419839,LOGOUT
IOS_YY,23,2|2711,1571419899,LOGOUT
IOS,5,0|494,1571419959,LOGOUT
ADR,10,1|33_145,1571420139,LOGIN
IOS,20,2|1927,1571420229,LOGOUT
IOS_YY,1,0|615_85,1571420289,LOGIN
H5,5,0|362,1571420589,LOGIN
IOS_YY,13,1|1601,1571420679,LOGOUT
ADR,25,2|1708,1571420919,LOGIN
IOS_YY,13,1|671,1571421159,LOGOUT
ADR,3,0|689,1571421279,LOGOUT
IOS,5,0|2277,1571421549,LOGIN
IOS,4,0|1987,1571421639,LOGIN
IOS,14,1|2265,1571421759,LOGIN
ADR,3,0|399,1571422389,LOGOUT
H5,10,1|243,1571422539,LOGOUT
ADR,15,1|2381,1571422719,LOGOUT
H5,5,0|2381,1571422719,LOGIN
IOS,24,2|2114,1571422749,LOGOUT
IOS,22,2|446,1571422839,LOGOUT
H5,2,0|2702,1571422959,LOGOUT
IOS,14,1|1447,1571423289,LOGOUT
ADR,2,0|73,1571423529,LOGOUT
H5,15,1|73,1571423529,LOGIN
H5,0,0|230,1571423559,LOGIN
H5,1,0|894,1571423709,LOGOUT
IOS_YY,5,0|1566,1571423799,LOGOUT
H5,21,2|2651,1571423949,LOGOUT
IOS_YY,22,2|662,1571423979,LOGOUT
IOS,14,1|687,1571424489,LOGOUT
H5,10,1|67,1571424519,LOGOUT
IOS,21,2|252,1571424639,LOGOUT
IOS,14,1|553,1571424699,LOGOUT
IOS,10,1|730,1571424849,LOGIN
IOS_YY,11,1|2282,1571425029,LOGOUT
IOS,3,0|1161_77,1571425239,LOGIN
IOS,23,2|2088,1571425479,LOGOUT
IOS,1,0|1923_117,1571425659,LOGOUT
ADR,25,2|1811,1571425749,LOGOUT
IOS_YY,13,1|1373_170,1571425839,LOGIN
IOS_YY,14,1|1596,1571426049,LOGOUT
IOS_YY,24,2|1421,1571426289,LOGOUT
H5,4,0|1749,1571426349,LOGOUT
H5,13,1|534,1571426409,LOGIN
H5,23,2|1889,1571426679,LOGIN
IOS,4,0|250,1571426709,LOGOUT
H5,24,2|678,1571427279,LOGOUT
IOS,12,1|1696,1571427759,LOGIN
IOS_YY,4,0|713_158,1571428269,LOGIN
ADR,3,0|770,1571428329,LOGIN
IOS_YY,3,0|2009,1571428779,LOGIN
H5,0,0|2954,1571429019,LOGIN
IOS_YY,2,0|2487,1571429139,LOGIN
H5,1,0|227,1571429199,LOGIN
IOS_YY,20,2|227,1571429199,LOGOUT
H5,0,0|861,1571429349,LOGOUT
ADR,5,0|2431,1571429829,LOGOUT
H5,2,0|383,1571430189,LOGOUT
IOS_YY,0,0|1221,1571430639,LOGIN
ADR,15,1|835,1571430849,LOGOUT
IOS,21,2|126,1571430879,LOGIN
IOS_YY,13,1|2962,1571431329,LOGOUT
H5,11,1|2321,1571432169,LOGOUT
ADR,5,0|313,1571432199,LOGIN
IOS_YY,22,2|1758,1571432259,LOGIN
IOS,1,0|2232,1571432289,LOGIN
IOS,10,1|1665,1571432439,LOGOUT
ADR,10,1|1665,1571432439,LOGIN
H5,14,1|1182,1571432649,LOGIN
IOS,5,0|1890,1571432739,LOGIN
ADR,15,1|1239,1571432799,LOGOUT
ADR,11,1|2743,1571433009,LOGIN
ADR,24,2|32,1571433249,LOGIN
IOS,21,2|2868,1571433369,LOGOUT
ADR,14,1|1470,1571433399,LOGOUT
IOS_YY,3,0|554,1571433489,LOGIN
IOS,13,1|2877,1571433609,LOGIN
IOS_YY,20,2|865,1571434089,LOGIN
IOS,12,1|2831,1571434149,LOGOUT
H5,3,0|2390,1571434179,LOGOUT
IOS,25,2|759,1571434239,LOGOUT
IOS_YY,10,1|753,1571434269,LOGOUT
H5,11,1|910,1571434329,LOGOUT
ADR,23,2|161,1571434359,LOGOUT
IOS,21,2|1867_215,1571434389,LOGIN
IOS_YY,10,1|145,1571434449,LOGOUT
H5,23,2|2095,1571434479,LOGIN
H5,4,0|2067,1571434539,LOGOUT
H5,4,0|2241,1571434569,LOGOUT
H5,24,2|670,1571434659,LOGIN
ADR,21,2|1850,1571434899,LOGOUT
IOS_YY,25,2|1076,1571435169,LOGOUT
ADR,23,2|2158,1571435259,LOGIN
IOS,5,0|1522_22,1571435409,LOGIN
IOS_YY,5,0|550,1571435649,LOGIN
H5,15,1|937,1571435799,LOGIN
IOS_YY,3,0|2361,1571435949,LOGIN
IOS_YY,11,1|948,1571436099,LOGOUT
IOS_YY,3,0|361,1571436369,LOGIN
ADR,23,2|1663,1571436519,LOGIN
IOS_YY,22,2|1863,1571437059,LOGOUT
H5,14,1|163,1571437239,LOGOUT
H5,24,2|195,1571437299,LOGOUT
H5,23,2|950,1571437329,LOGOUT
ADR,22,2|226,1571437359,LOGOUT
H5,21,2|2741,1571437629,LOGOUT
IOS,1,0|237,1571437689,LOGIN
H5,4,0|237,1571437689,LOGOUT
ADR,12,1|2752,1571437719,LOGIN
IOS,4,0|121,1571437839,LOGIN
H5,24,2|1330_220,1571438109,LOGOUT
IOS,4,0|1624,1571438379,LOGIN
ADR,22,2|1959,1571438649,LOGOUT
IOS,12,1|121,1571438799,LOGIN
H5,1,0|121,1571438799,LOGOUT
IOS_YY,0,0|2113,1571438859,LOGOUT
IOS_YY,0,0|2113,1571438859,LOGOUT
IOS,1,0|2783,1571439129,LOGOUT
IOS_YY,2,0|26,1571439789,LOGIN
ADR,24,2|301,1571439999,LOGIN
IOS_YY,2,0|1739,1571440209,LOGOUT
ADR,2,0|1876,1571440779,LOGIN
ADR,4,0|496,1571440869,LOGIN
IOS_YY,21,2|2049,1571441409,LOGOUT
ADR,20,2|1585,1571441679,LOGIN
H5,24,2|2199,1571442399,LOGIN
H5,13,1|2199,1571442399,LOGOUT
ADR,2,0|693,1571442489,LOGIN
IOS,22,2|693,1571442489,LOGOUT
H5,24,2|2227,1571442579,LOGOUT
ADR,11,1|2503,1571442639,LOGOUT
IOS,11,1|1332,1571442729,LOGOUT
H5,1,0|1158,1571442999,LOGOUT
IOS_YY,2,0|999,1571443269,LOGOUT
IOS_YY,4,0|2470,1571443509,LOGOUT
H5,10,1|1614,1571443539,LOGOUT
IOS,1,0|19_120,1571443719,LOGIN
IOS,4,0|2344,1571443749,LOGOUT
IOS_YY,11,1|1878,1571444139,LOGIN
IOS_YY,5,0|170,1571444319,LOGOUT
IOS,5,0|2227,1571444349,LOGIN
H5,10,1|2685,1571444469,LOGIN
H5,4,0|922,1571444859,LOGOUT
H5,14,1|2453,1571444919,LOGIN
IOS_YY,23,2|1621,1571445009,LOGOUT
IOS,5,0|2641,1571445069,LOGIN
IOS,5,0|1007,1571445129,LOGOUT
ADR,5,0|371,1571445159,LOGOUT
IOS_YY,2,0|654,1571445489,LOGIN
ADR,1,0|2528,1571445699,LOGIN
H5,15,1|1204,1571446479,LOGOUT
IOS,5,0|1847,1571447079,LOGIN
H5,5,0|2557,1571447139,LOGOUT
IOS_YY,2,0|405,1571447289,LOGIN
ADR,1,0|1527,1571447319,LOGIN
H5,12,1|2487,1571447469,LOGOUT
ADR,21,2|2718,1571447529,LOGIN
IOS_YY,21,2|2094,1571447619,LOGIN
IOS_YY,21,2|423,1571447649,LOGIN
IOS_YY,2,0|2110,1571447799,LOGIN
IOS,5,0|15,1571447979,LOGOUT
H5,5,0|577,1571448129,LOGOUT
ADR,25,2|694_272,1571448159,LOGOUT
IOS,4,0|1410,1571448369,LOGIN
ADR,0,0|150,1571448609,LOGOUT
ADR,0,0|150,1571448609,LOGOUT
IOS,24,2|2130,1571448699,LOGIN
IOS_YY,20,2|1027,1571448939,LOGOUT
IOS,2,0|1586,1571449149,LOGOUT
IOS_YY,3,0|202,1571449359,LOGOUT
IOS,12,1|636,1571450289,LOGOUT
H5,12,1|1307,1571450439,LOGOUT
ADR,20,2|608,1571450559,LOGIN
ADR,24,2|338,1571450589,LOGIN
H5,11,1|338,1571450589,LOGOUT
IOS_YY,1,0|1135,1571450829,LOGIN
ADR,11,1|1189,1571450859,LOGIN
H5,15,1|358,1571451039,LOGIN
H5,25,2|479,1571451129,LOGIN
IOS,21,2|2755,1571451159,LOGOUT
IOS,3,0|451,1571451219,LOGOUT
H5,15,1|367,1571451639,LOGIN
IOS_YY,1,0|2111,1571452119,LOGOUT
IOS,2,0|44,1571452299,LOGIN
ADR,22,2|1912,1571452359,LOGIN
IOS,20,2|2748,1571452749,LOGOUT
IOS_YY,5,0|2034,1571452809,LOGIN
IOS_YY,13,1|1728,1571452929,LOGOUT
IOS,22,2|2614,1571453349,LOGIN
IOS,13,1|2541,1571453379,LOGOUT
ADR,20,2|1349,1571453499,LOGIN
IOS_YY,0,0|2361,1571453619,LOGOUT
H5,10,1|479_85,1571453889,LOGIN
IOS_YY,14,1|2484,1571453949,LOGOUT
IOS,12,1|481,1571454039,LOGIN
IOS,1,0|1759,1571454129,LOGOUT
ADR,15,1|2814,1571454279,LOGOUT
IOS,13,1|832,1571454309,LOGIN
ADR,14,1|1637,1571454429,LOGOUT
IOS_YY,22,2|6,1571454579,LOGIN
H5,5,0|1525,1571454609,LOGIN
IOS,15,1|1135,1571454639,LOGOUT
IOS_YY,13,1|347,1571454669,LOGIN
H5,23,2|2877,1571454729,LOGOUT
IOS_YY,11,1|56,1571454849,LOGOUT
ADR,23,2|2932,1571455089,LOGIN
IOS,24,2|2007,1571455269,LOGOUT
IOS_YY,21,2|986,1571455449,LOGOUT
H5,10,1|481,1571455779,LOGOUT
H5,12,1|1612,1571456019,LOGOUT
IOS_YY,20,2|676,1571456169,LOGIN
IOS_YY,4,0|209,1571456199,LOGIN
IOS_YY,13,1|1571,1571456289,LOGIN
H5,5,0|2106,1571456319,LOGIN
IOS_YY,13,1|2106,1571456319,LOGOUT
H5,10,1|1281,1571456349,LOGIN
IOS_YY,3,0|974,1571456379,LOGOUT
IOS_YY,20,2|2534,1571456589,LOGOUT
IOS_YY,13,1|2814,1571456919,LOGIN
ADR,0,0|1176,1571457309,LOGOUT
IOS_YY,15,1|1076,1571457699,LOGOUT
H5,23,2|729,1571457789,LOGIN
IOS_YY,0,0|1178,1571457879,LOGOUT
IOS,25,2|101,1571457999,LOGOUT
ADR,14,1|1501,1571458209,LOGOUT
ADR,15,1|411,1571458299,LOGOUT
H5,24,2|1217,1571458449,LOGIN
ADR,0,0|2922,1571458629,LOGIN
H5,4,0|1610,1571458779,LOGOUT
H5,15,1|1811,1571458839,LOGIN
IOS_YY,2,0|308,1571459019,LOGOUT
IOS_YY,5,0|819_62,1571459079,LOGIN
IOS_YY,25,2|1334,1571459109,LOGIN
ADR,22,2|1221,1571459919,LOGIN
ADR,11,1|1185,1571460129,LOGOUT
ADR,23,2|2693,1571460219,LOGIN
ADR,0,0|2259,1571460759,LOGOUT
IOS,13,1|9,1571460819,LOGIN
H5,11,1|1670,1571461029,LOGIN
H5,25,2|1212,1571461119,LOGIN
IOS_YY,11,1|851,1571461299,LOGIN
H5,20,2|2792,1571462079,LOGOUT
ADR,0,0|2792,1571462079,LOGIN
IOS_YY,1,0|532,1571462289,LOGIN
IOS,22,2|2833,1571462319,LOGIN
ADR,14,1|2833,1571462319,LOGOUT
ADR,13,1|2556,1571463069,LOGOUT
ADR,14,1|194,1571463159,LOGOUT
IOS,0,0|1047,1571463249,LOGIN
ADR,2,0|1270,1571463489,LOGOUT
H5,12,1|2342,1571463639,LOGOUT
IOS,13,1|801,1571464929,LOGOUT
IOS_YY,10,1|1630,1571465079,LOGIN
IOS_YY,15,1|2372,1571465379,LOGIN
IOS_YY,15,1|2372,1571465379,LOGIN
H5,2,0|229,1571465589,LOGOUT
IOS_YY,11,1|1376,1571465619,LOGOUT
IOS_YY,21,2|953,1571465949,LOGOUT
IOS_YY,21,2|2412,1571465979,LOGOUT
ADR,5,0|2385,1571466009,LOGOUT
IOS,20,2|1147,1571466069,LOGOUT
ADR,24,2|1330_42,1571466189,LOGOUT
H5,14,1|2663,1571466219,LOGIN
ADR,11,1|1206,1571466729,LOGOUT
IOS_YY,24,2|2253,1571466789,LOGIN
IOS,23,2|2356,1571466909,LOGOUT
ADR,20,2|2356,1571466909,LOGIN
ADR,24,2|942,1571466999,LOGIN
IOS,4,0|1533,1571467239,LOGIN
H5,25,2|1261,1571467389,LOGIN
H5,10,1|1261,1571467389,LOGOUT
IOS,24,2|1570,1571467629,LOGIN
ADR,24,2|2222,1571467659,LOGIN
IOS_YY,15,1|605,1571467689,LOGOUT
H5,24,2|567,1571467749,LOGIN
H5,4,0|1741,1571467839,LOGIN
IOS,23,2|267,1571467929,LOGIN
IOS,14,1|2187,1571467959,LOGOUT
ADR,14,1|593,1571468319,LOGIN
IOS,11,1|1308_10,1571468379,LOGOUT
ADR,11,1|2958,1571468739,LOGOUT
H5,5,0|2016,1571468829,LOGOUT
ADR,2,0|2172,1571468889,LOGOUT
IOS,25,2|510,1571469249,LOGIN
ADR,12,1|1610,1571469369,LOGIN
IOS,20,2|959,1571469429,LOGOUT
ADR,25,2|1834,1571469489,LOGOUT
H5,14,1|1097,1571469639,LOGIN
IOS_YY,4,0|1803_261,1571470149,LOGOUT
ADR,21,2|1803_261,1571470149,LOGIN
ADR,13,1|505,1571470239,LOGOUT
ADR,24,2|605,1571470269,LOGIN
IOS,21,2|1517,1571470359,LOGIN
IOS,4,0|221,1571470389,LOGIN
IOS,4,0|221,1571470389,LOGIN
IOS_YY,23,2|2821,1571470749,LOGOUT
H5,23,2|477,1571470839,LOGIN
H5,11,1|622,1571471199,LOGOUT
ADR,2,0|281,1571471259,LOGIN
ADR,2,0|281,1571471259,LOGIN
